lineId,originStopId,destinationStopId,orientation,averageSpeed,distance,averageTime,sampleCount
131,500201,504016,0,17.7929,0.1165,22.00,2
131,500250,500200,1,82.1683,0.3018,13.00,7
131,500251,500201,0,78.6142,0.4303,18.55,11
131,500300,500250,1,33.5889,0.1347,14.47,15
131,500301,500251,0,34.8049,0.1894,20.60,20
131,500350,500300,1,52.2862,0.2253,16.00,5
131,500400,500350,1,52.8965,0.2270,16.80,5
131,500450,500400,1,106.6469,0.3781,12.75,4
131,500500,500450,1,72.7666,0.2730,13.67,3
131,500602,500500,1,41.1681,0.1837,19.00,8
131,500750,500602,1,71.9746,0.2472,13.13,8
131,500850,500750,1,33.5251,0.1798,22.40,5
131,500950,500850,1,38.7055,0.1679,15.43,7
131,501002,500950,1,47.0500,0.3020,22.88,8
131,501602,501002,1,42.5075,0.1627,13.38,8
131,501652,501602,1,59.8397,0.2246,13.40,5
131,501702,501652,1,50.0322,0.1714,13.00,6
131,501750,501702,1,56.4528,0.2312,18.67,3
131,501800,501750,1,76.7844,0.2475,11.67,3
131,501852,501800,1,61.7102,0.2454,16.20,10
131,501900,501852,1,88.9756,0.3783,15.80,5
131,501950,501900,1,27.0263,0.1479,20.45,11
131,502000,501950,1,73.0247,0.2496,12.40,5
131,502050,502000,1,48.9961,0.2446,18.00,8
131,502102,502050,1,46.2265,0.1983,17.50,2
131,502150,502102,1,38.5268,0.1313,13.00,6
131,502200,502150,1,82.6863,0.2633,11.67,6
131,502250,502200,1,57.6402,0.2873,18.78,9
131,502250,502300,1,82.7178,0.5206,22.67,15
140,500159,501052,1,40.4836,0.2142,19.08,24
140,501051,500163,0,84.8430,0.5098,20.50,2
140,501052,501100,1,38.5607,0.1800,18.84,32
140,501100,501150,1,28.8233,0.1795,22.19,16
140,501101,501051,0,43.8037,0.2095,17.39,18
140,501150,501200,1,28.6449,0.1412,18.88,25
140,501151,501101,0,40.2302,0.1682,15.76,17
140,501200,501250,1,28.6739,0.1423,19.48,25
140,501201,501151,0,60.5532,0.3046,17.71,34
140,501250,501300,1,37.7882,0.1771,17.86,22
140,501251,501201,0,53.8451,0.2687,17.70,30
140,501300,501350,1,37.9545,0.2671,21.62,21
140,501301,501251,0,41.0397,0.2071,18.00,26
140,501350,501450,1,62.2376,0.3866,21.17,29
140,501351,501301,0,45.9250,0.1614,13.83,18
140,501450,501500,1,44.4263,0.2445,19.93,29
140,501500,501550,1,49.0265,0.2780,21.17,30
140,501550,500751,1,75.9274,0.4331,20.33,6
142,500751,500851,0,45.5574,0.2309,18.45,20
142,500851,500950,0,65.2322,0.3436,19.17,12
142,500950,501351,0,66.1018,0.4153,21.19,16
142,501150,514056,1,48.3048,0.2682,22.20,15
142,501151,514020,0,47.2614,0.2382,19.00,7
142,501200,501150,1,65.5017,0.3210,19.71,21
142,501201,501151,0,58.0095,0.2808,17.64,11
142,501250,501200,1,52.3993,0.3250,23.64,11
142,501250,501300,1,37.4595,0.2057,20.45,11
142,501251,501201,0,75.8309,0.4385,20.38,13
142,501300,501250,1,49.5757,0.2661,20.86,21
142,501300,501350,1,49.5210,0.2612,20.27,15
142,501301,501251,0,45.3966,0.2012,17.27,15
142,501350,501300,1,49.9503,0.2880,22.21,19
142,501350,501500,1,42.5761,0.2041,19.00,17
142,501351,501301,0,39.9314,0.1590,14.25,4
142,501500,501350,1,34.6087,0.2203,22.74,19
142,501500,501552,1,51.5962,0.3376,23.21,14
142,501552,501500,1,43.5754,0.2267,23.20,15
142,501552,502351,1,33.3585,0.1903,21.00,15
